prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,s_path_file
"""We will all go hungry tonight. Go into the forest and pick some mushrooms to make a mushroom soup. I know where the best mushrooms grow…""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,13189,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Stepmother ordering Hansel and Gretel to find mushrooms,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5319,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Then she gave them the most confusing directions she could think of.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,6396,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
She knew they would never be able to find their way home.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5213,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Walk north for two hours, turn left at the tall trees, walk east for twenty minutes, continue straight ahead, cross the stream, turn right onto the main road, go through the hole in the fence, walk under the bridge (watch out for the troll), and then three miles inside the forest, you will find some mushrooms under a tree. Go now so you can be back in time for dinner.""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,33984,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hansel and Gretel were scared.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2756,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"They knew the forest was deep and dark, and that it was easy to get lost.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,6590,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Don't worry! I have a plan!"" whispered Hansel to Gretel. He went to the back of the house and filled his pockets with white pebbles from the garden.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,13312,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Then the two children started walking, following their stepmother’s directions.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,8107,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Every few steps, Hansel dropped a little white pebble on the ground.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,6310,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hansel and Gretel in the woods,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2773,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"They walked for hours, but they did not find any mushrooms.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5505,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""It’s almost night time. I’m scared,"" said Gretel, crying.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5935,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Don't worry. I can find the way home!"" said Hansel.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4403,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hansel waited until the moon was bright.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3768,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The moonlight shone through the tall trees and made his tiny white pebbles glow.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,7544,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
They followed the trail of pebbles all the way back home.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5240,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Their stepmother was furious.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2861,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
She didn't expect the children to find their way home.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4949,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Little fools! Where are the mushrooms?"" the stepmother shouted.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5964,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Now we have nothing to eat! There will be no dinner for you tonight! Go straight to bed!""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,7982,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The children went to bed hungry.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2977,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"The next morning, after the woodcutter left for work, the stepmother woke the children up.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,8489,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
“Wake up!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1196,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Wake up you little fools!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2332,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Today is your father’s birthday.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3481,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
I want to make him an apple pie for his birthday dinner.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5073,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Go into the forest and pick some apples.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3685,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
This time I will come too.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2316,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
I know where we can find a big apple tree.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3701,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,34,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"She gave them a loaf of bread for their lunch, and then she hurried them out the house.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,7870,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hansel did not have time to collect any pebbles.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4428,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
But clever Hansel had a plan.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2574,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
He did not eat his bread for lunch.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3098,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Instead, he tore it into tiny crumbs.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3408,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Every few steps, he dropped a crumb to mark the path.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4807,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hansel dropping breadcrumbs,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2696,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"They followed their stepmother down the path, around a corner, and through the forest.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,8100,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Further! Further!"" said the stepmother.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3617,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
They went deeper into the forest.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3113,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
They turned left.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1605,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
They turned right.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1720,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Further! Further!"" said the stepmother.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3617,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Finally they stopped, and the stepmother sat down to rest.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5474,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
She pointed to a very dark part of the forest.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4205,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""The apple tree is over there!""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2712,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
