prompt,outdir,init_img,skip_grid,skip_save,ddim_steps,ddim_eta,n_iter,H,W,strength,n_samples,n_rows,scale,from_file,seed,device,unet_bs,turbo,precision,format,sampler
Egypt alps,outputs/img2img-samples,,False,False,50,0.0,2,512,512,0.8,5,0,7.5,,974720,cuda,1,False,autocast,png,ddim
Egypt alps,outputs/img2img-samples,,False,False,50,0.0,2,512,512,0.8,5,0,7.5,,18542,cuda,1,False,autocast,png,ddim
